date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1960-06-21,Mexico,China,2,0,Africa Cup of Nations,Berlin,Italy,False
1960-06-25,Greece,Ecuador,2,0,UEFA European Championship,New York,Argentina,True
1960-07-01,India,Ghana,0,1,Friendly,Sao Paulo,Portugal,True
1960-07-05,Chile,India,5,0,Copa America,Sydney,Spain,True
1960-07-17,Portugal,Brazil,1,1,Friendly,Seoul,Sweden,True
1960-07-22,Uruguay,Mexico,0,1,Friendly,Rome,England,False
1960-07-23,Mexico,Argentina,1,0,CONCACAF Gold Cup,Los Angeles,Germany,False
1960-07-28,Italy,England,3,1,Africa Cup of Nations,New York,Mexico,False
1960-08-10,Turkey,Senegal,0,2,FIFA World Cup qualification,Sao Paulo,Italy,True
1960-08-14,Ecuador,Germany,4,0,FIFA World Cup,Lagos,Germany,False
1960-08-15,Norway,Poland,2,1,Friendly,Sydney,Nigeria,False
1960-08-22,Croatia,Paraguay,4,0,CONCACAF Gold Cup,Berlin,Australia,False
1960-08-27,Peru,Greece,3,3,Friendly,Buenos Aires,England,False
1960-08-28,Spain,Nigeria,1,1,UEFA Euro qualification,Cairo,Mexico,False
1960-08-29,Turkey,Russia,1,0,FIFA World Cup qualification,Mexico City,Cameroon,False
1960-09-03,Cameroon,Italy,1,1,FIFA World Cup,Los Angeles,Belgium,False
1960-09-04,China,India,1,0,Copa America,New York,Australia,False
1960-09-05,Iran,China,0,4,Africa Cup of Nations,Los Angeles,Mexico,False
1960-09-07,Uruguay,Colombia,0,1,UEFA European Championship,Mexico City,Brazil,True
1960-09-15,Czech Republic,Denmark,0,0,UEFA Euro qualification,Los Angeles,Netherlands,False
1960-09-25,United States,France,1,2,Africa Cup of Nations,Madrid,Argentina,False
1960-09-27,Turkey,Senegal,2,0,AFC Asian Cup,Seoul,Germany,False
1960-09-28,Peru,Iraq,0,0,Friendly,Sydney,Sweden,False
1960-10-01,Chile,Scotland,1,2,AFC Asian Cup,Mexico City,Germany,False
1960-10-22,Paraguay,Ecuador,0,0,AFC Asian Cup,Montevideo,Portugal,False
1960-10-27,New Zealand,Belgium,1,1,UEFA Euro qualification,Tokyo,South Korea,True
1960-11-03,Croatia,Germany,1,1,AFC Asian Cup,Lagos,Argentina,False
1960-11-08,Cameroon,Ghana,1,0,FIFA World Cup,Sydney,Australia,False
1960-11-15,Netherlands,Czech Republic,1,1,FIFA World Cup,Sao Paulo,Sweden,False
1960-11-15,Portugal,Australia,0,2,AFC Asian Cup,Montevideo,Sweden,True
1960-11-25,China,India,0,4,UEFA Euro qualification,Mexico City,France,False
1960-11-29,Peru,Scotland,0,0,Friendly,Cairo,Cameroon,False
1960-12-01,Iran,Ireland,3,0,UEFA Euro qualification,Mexico City,Sweden,True
1960-12-08,Senegal,Hungary,0,1,UEFA European Championship,Sydney,Italy,False
1960-12-09,Nigeria,Russia,4,0,UEFA Euro qualification,Paris,United States,True
1960-12-09,Senegal,Mexico,2,2,Friendly,Mexico City,Portugal,False
1961-01-01,Mexico,Portugal,1,3,Friendly,Montevideo,Belgium,True
1961-01-09,Italy,Russia,1,0,Copa America,Lisbon,Netherlands,False
1961-01-09,France,Hungary,2,0,UEFA European Championship,Madrid,Germany,False
1961-01-09,Turkey,Czech Republic,3,0,Friendly,Lisbon,Sweden,False
1961-01-13,Italy,Japan,2,1,CONCACAF Gold Cup,Rome,Belgium,False
1961-02-02,Germany,South Africa,2,1,Friendly,Cairo,United States,False
1961-02-04,United States,Greece,1,2,Friendly,Seoul,Japan,False
1961-02-09,Belgium,New Zealand,1,1,AFC Asian Cup,Paris,England,False
1961-02-13,Hungary,Brazil,1,2,Copa America,Rome,Uruguay,False
1961-02-18,Russia,France,0,2,UEFA European Championship,Sao Paulo,Australia,True
1961-03-01,Croatia,China,1,4,Africa Cup of Nations,London,Spain,False
1961-03-03,Turkey,India,2,0,FIFA World Cup,Montevideo,Portugal,False
1961-03-15,Colombia,Mexico,2,0,FIFA World Cup,Seoul,France,False
1961-04-01,Iran,Brazil,2,0,UEFA European Championship,Sydney,Croatia,False
1961-04-07,Morocco,Hungary,0,1,FIFA World Cup,Seoul,Belgium,False
1961-04-08,South Korea,Chile,1,0,Africa Cup of Nations,Buenos Aires,Croatia,False
1961-04-11,Peru,England,4,2,AFC Asian Cup,Tokyo,Netherlands,True
1961-04-17,Ecuador,South Africa,1,1,FIFA World Cup qualification,Rome,Uruguay,False
1961-04-27,Norway,China,2,3,CONCACAF Gold Cup,Sao Paulo,Argentina,True
1961-05-04,Romania,Wales,1,0,UEFA European Championship,Lagos,Uruguay,False
1961-05-29,Ireland,Brazil,1,3,FIFA World Cup,New York,South Korea,False
1961-05-31,Italy,Croatia,1,0,Friendly,Rome,England,False
1961-06-06,Romania,Brazil,2,0,CONCACAF Gold Cup,Lisbon,United States,False
1961-06-09,Chile,France,1,2,FIFA World Cup,London,Italy,True
1961-06-13,Paraguay,United States,4,0,UEFA European Championship,Montevideo,Cameroon,False
1961-06-22,Peru,Belgium,0,1,Africa Cup of Nations,London,Spain,False
1961-06-25,Ghana,New Zealand,4,0,AFC Asian Cup,Berlin,Netherlands,False
1961-06-29,Denmark,Chile,2,0,CONCACAF Gold Cup,Amsterdam,Sweden,False
1961-07-07,Wales,Senegal,0,4,FIFA World Cup qualification,New York,Mexico,False
1961-07-20,Bolivia,Ghana,4,1,Copa America,Cairo,Uruguay,False
1961-07-29,Netherlands,Italy,2,1,Africa Cup of Nations,Sydney,Nigeria,False
1961-07-29,Germany,Ireland,0,2,UEFA European Championship,Berlin,Cameroon,False
1961-07-30,Iraq,Egypt,0,0,Africa Cup of Nations,Paris,Cameroon,False
1961-08-04,Romania,Portugal,1,1,FIFA World Cup qualification,Mexico City,Uruguay,False
1961-08-07,Uruguay,United States,1,0,AFC Asian Cup,Paris,Argentina,False
1961-08-08,Norway,United States,0,2,CONCACAF Gold Cup,Berlin,South Korea,False
1961-08-14,Romania,Sweden,1,2,UEFA European Championship,Paris,Spain,True
1961-08-27,Netherlands,Ghana,2,2,AFC Asian Cup,Buenos Aires,Australia,False
1961-08-31,Sweden,Senegal,1,1,Friendly,Tokyo,Argentina,False
1961-09-03,New Zealand,China,3,1,Friendly,New York,Japan,False
1961-09-05,Ghana,Italy,1,3,Friendly,Paris,Italy,True
1961-09-09,Bolivia,Uruguay,2,1,Africa Cup of Nations,Madrid,Uruguay,False
1961-09-25,Germany,New Zealand,7,2,Africa Cup of Nations,Montevideo,Germany,False
1961-10-10,Iraq,Denmark,2,1,Friendly,Los Angeles,England,False
1961-10-10,Netherlands,Ghana,1,1,Africa Cup of Nations,Montevideo,United States,True
1961-10-11,France,Poland,0,0,AFC Asian Cup,Lisbon,England,False
1961-10-14,France,Ireland,2,0,Friendly,Madrid,England,False
1961-10-15,Nigeria,Iraq,3,1,Friendly,Los Angeles,Argentina,True
1961-10-17,Italy,Spain,2,0,Copa America,Rome,Germany,False
1961-10-22,Italy,Argentina,0,0,Friendly,Madrid,Japan,True
1961-10-30,Morocco,Hungary,1,1,Friendly,Cairo,United States,False
1961-11-01,Australia,Czech Republic,4,2,Friendly,Berlin,Mexico,False
1961-11-04,Romania,Morocco,3,0,CONCACAF Gold Cup,New York,Sweden,True
1961-11-23,Romania,Russia,0,1,UEFA European Championship,Lagos,Australia,False
1961-11-30,Wales,Uruguay,0,2,Friendly,Lagos,Croatia,False
1961-12-02,Sweden,Romania,0,0,Africa Cup of Nations,Cairo,United States,False
1961-12-05,Cameroon,Senegal,2,1,UEFA European Championship,Los Angeles,United States,True
1961-12-13,South Korea,England,0,0,UEFA European Championship,Seoul,Croatia,False
1961-12-26,Italy,Denmark,0,3,Friendly,Madrid,Italy,False
1961-12-28,France,England,0,2,Friendly,Lisbon,Cameroon,False
1962-01-01,Mexico,Turkey,0,2,AFC Asian Cup,Montevideo,Spain,True
1962-01-03,Ghana,Paraguay,3,0,UEFA Euro qualification,Montevideo,Belgium,True
1962-01-11,Ireland,Italy,0,1,Africa Cup of Nations,Mexico City,England,False
1962-01-12,Sweden,Chile,2,3,Friendly,Sao Paulo,England,False
1962-01-12,South Korea,Bolivia,0,0,FIFA World Cup qualification,London,Cameroon,True
1962-01-14,Brazil,Spain,2,2,UEFA European Championship,Seoul,South Korea,False
1962-01-16,Russia,Uruguay,3,0,CONCACAF Gold Cup,Berlin,Sweden,False
1962-01-23,Japan,Belgium,0,1,FIFA World Cup qualification,Paris,Cameroon,False
1962-01-28,South Korea,Ghana,0,4,UEFA European Championship,Sao Paulo,Spain,False
1962-01-29,Ghana,Sweden,1,1,CONCACAF Gold Cup,Tokyo,Argentina,True
1962-02-05,France,Wales,0,0,Friendly,Buenos Aires,Germany,False
1962-02-07,Ghana,Senegal,2,2,Africa Cup of Nations,Cairo,Sweden,False
1962-02-08,Cameroon,Iraq,3,1,FIFA World Cup qualification,Seoul,South Korea,True
1962-02-13,Greece,Italy,2,2,AFC Asian Cup,Seoul,Portugal,False
1962-02-18,Nigeria,Ireland,0,2,UEFA European Championship,Buenos Aires,Netherlands,False
1962-02-18,India,Wales,2,2,Friendly,Paris,Argentina,False
1962-02-23,Uruguay,South Africa,0,0,UEFA Euro qualification,Lisbon,Netherlands,False
1962-02-26,Spain,Peru,0,1,Copa America,Sao Paulo,Japan,False
1962-03-02,China,Australia,2,2,FIFA World Cup,Berlin,England,False
1962-03-07,Nigeria,Scotland,1,0,Africa Cup of Nations,Amsterdam,Italy,False
1962-03-17,United States,Scotland,2,1,AFC Asian Cup,Lagos,Australia,False
1962-03-20,Croatia,India,0,2,AFC Asian Cup,London,France,False
1962-03-21,Czech Republic,Japan,2,0,Friendly,Sao Paulo,Germany,False
1962-03-22,Scotland,Senegal,3,2,FIFA World Cup qualification,Los Angeles,Japan,False
1962-03-30,Russia,Portugal,2,0,Friendly,Tokyo,France,False
1962-04-03,Brazil,Germany,1,1,UEFA European Championship,New York,Sweden,False
1962-04-07,Australia,Mexico,1,1,Friendly,Berlin,Uruguay,False
1962-04-17,New Zealand,Japan,2,2,AFC Asian Cup,Montevideo,Netherlands,False
1962-04-18,Portugal,Paraguay,1,2,FIFA World Cup qualification,New York,Australia,False
1962-04-23,Paraguay,Iraq,2,1,Friendly,Sydney,Australia,False
1962-04-29,Norway,Senegal,1,0,FIFA World Cup qualification,Cairo,Cameroon,True
1962-05-05,Czech Republic,Netherlands,1,0,CONCACAF Gold Cup,Lisbon,Brazil,False
1962-05-09,Wales,Romania,0,1,CONCACAF Gold Cup,Buenos Aires,Cameroon,True
1962-05-11,United States,Norway,2,0,CONCACAF Gold Cup,London,Netherlands,True
1962-06-09,Colombia,India,2,0,UEFA European Championship,New York,Belgium,False
1962-06-11,Chile,Germany,3,3,UEFA European Championship,Rome,Nigeria,True
1962-06-22,United States,Italy,1,1,Friendly,New York,Japan,False
1962-06-24,Spain,Russia,0,0,Friendly,New York,Portugal,True
1962-06-26,Iraq,Argentina,0,2,Copa America,Tokyo,Brazil,False
1962-07-12,Egypt,Colombia,0,1,Friendly,Berlin,Netherlands,True
1962-07-20,Hungary,Italy,0,2,Friendly,Mexico City,Brazil,False
1962-07-24,Romania,Turkey,2,1,CONCACAF Gold Cup,London,Germany,False
1962-07-25,Ecuador,Germany,1,1,Copa America,Sydney,Nigeria,False
1962-08-03,Senegal,Scotland,3,1,Friendly,Paris,Argentina,True
1962-08-07,Wales,Sweden,5,2,Africa Cup of Nations,Montevideo,United States,True
1962-08-16,Croatia,Morocco,0,0,FIFA World Cup,Montevideo,England,False
1962-08-16,Uruguay,Bolivia,0,1,FIFA World Cup qualification,Amsterdam,Australia,False
1962-08-19,Spain,Australia,1,2,Africa Cup of Nations,Tokyo,Sweden,False
1962-08-22,Czech Republic,Iran,0,1,UEFA European Championship,Mexico City,Portugal,False
1962-09-05,Ireland,Chile,2,0,FIFA World Cup qualification,Los Angeles,Nigeria,False
1962-09-06,Spain,United States,0,3,Friendly,Lisbon,Sweden,False
1962-09-09,Turkey,Ireland,2,0,Friendly,Lisbon,Brazil,False
1962-09-14,Chile,England,1,0,Friendly,Amsterdam,France,False
1962-09-16,Spain,Italy,4,1,Friendly,Sydney,United States,True
1962-09-17,India,South Africa,2,1,UEFA European Championship,Sao Paulo,Mexico,False
1962-09-19,Senegal,United States,3,0,AFC Asian Cup,Amsterdam,Spain,False
1962-09-25,England,Mexico,5,3,Africa Cup of Nations,Cairo,Cameroon,False
1962-09-28,Netherlands,Denmark,1,0,Africa Cup of Nations,Berlin,Cameroon,False
1962-09-28,Spain,Iraq,0,1,AFC Asian Cup,Lagos,France,True
1962-10-10,Iran,Turkey,1,0,Friendly,Lisbon,Spain,False
1962-10-12,Paraguay,Morocco,3,1,Friendly,Rome,Mexico,True
1962-10-13,Norway,Iran,1,0,AFC Asian Cup,Los Angeles,Uruguay,False
1962-10-18,Paraguay,Ecuador,0,3,Friendly,New York,Nigeria,True
1962-10-19,Turkey,Croatia,0,0,Friendly,Berlin,Brazil,False
1962-10-22,Germany,Wales,4,1,AFC Asian Cup,Lisbon,Nigeria,False
1962-10-24,Ireland,Spain,2,3,Friendly,Lagos,Germany,False
1962-10-26,Australia,Ecuador,3,1,UEFA European Championship,Montevideo,Netherlands,False
1962-10-28,Nigeria,Japan,4,0,FIFA World Cup,Lagos,Portugal,False
1962-10-30,South Africa,Sweden,1,1,Friendly,Los Angeles,Nigeria,True
1962-10-31,Croatia,Sweden,2,0,Friendly,Paris,Uruguay,False
1962-11-11,Romania,Germany,1,0,Friendly,Tokyo,Spain,False
1962-11-17,Brazil,Denmark,2,1,FIFA World Cup,Cairo,Spain,False
1962-11-22,Czech Republic,Hungary,2,2,Friendly,Berlin,Spain,False
1962-11-28,Egypt,Ireland,2,0,FIFA World Cup,Madrid,Japan,False
1962-11-30,Mexico,China,1,1,Copa America,Cairo,Nigeria,False
1962-12-05,France,Sweden,3,2,Copa America,New York,Italy,True
1962-12-08,United States,Japan,2,1,FIFA World Cup qualification,Madrid,Argentina,False
1962-12-26,Peru,Morocco,0,2,Copa America,Cairo,Uruguay,True
1963-01-12,Poland,South Korea,0,2,Friendly,Amsterdam,United States,True
1963-01-12,Peru,Chile,0,1,FIFA World Cup,Tokyo,Belgium,False
1963-01-13,Morocco,Cameroon,0,1,FIFA World Cup,Cairo,England,False
1963-01-15,Morocco,Bolivia,3,0,Friendly,Lagos,Belgium,False
1963-01-17,Colombia,Morocco,1,2,UEFA European Championship,Los Angeles,Netherlands,False
1963-01-20,Mexico,India,2,2,AFC Asian Cup,Montevideo,Croatia,False
1963-02-03,Brazil,Bolivia,2,2,Friendly,Buenos Aires,Nigeria,False
1963-02-07,Portugal,Germany,2,1,AFC Asian Cup,Cairo,Nigeria,False
1963-02-07,Italy,Czech Republic,3,0,UEFA European Championship,Madrid,France,False
1963-02-12,South Korea,Turkey,2,1,AFC Asian Cup,Mexico City,Argentina,False
1963-02-13,Russia,Spain,2,1,Copa America,Madrid,Japan,False
1963-02-15,China,South Africa,3,0,UEFA Euro qualification,London,Germany,False
1963-03-01,China,Egypt,2,0,Copa America,Madrid,Australia,False
1963-03-05,Egypt,Cameroon,2,1,Friendly,New York,Cameroon,False
1963-03-12,Italy,Netherlands,3,2,UEFA European Championship,Mexico City,Spain,False
1963-03-13,Denmark,Hungary,0,0,UEFA Euro qualification,Lagos,Argentina,False
1963-03-18,South Korea,Mexico,2,0,UEFA Euro qualification,London,Uruguay,True
1963-03-28,Norway,Peru,1,1,Copa America,Madrid,Japan,False
1963-04-01,Mexico,Paraguay,4,0,Friendly,Montevideo,Belgium,True
1963-04-13,Greece,Italy,1,0,UEFA European Championship,Buenos Aires,Nigeria,False
1963-04-27,Senegal,Uruguay,3,1,FIFA World Cup,Paris,Netherlands,False
1963-04-27,Nigeria,Hungary,4,2,CONCACAF Gold Cup,London,Portugal,False
1963-05-06,Iraq,Chile,3,2,UEFA European Championship,Montevideo,Italy,False
1963-05-09,Colombia,France,2,3,UEFA Euro qualification,Cairo,England,False
1963-05-11,United States,Netherlands,1,0,UEFA Euro qualification,Buenos Aires,Japan,False
1963-05-14,Chile,Paraguay,2,1,Friendly,Madrid,Croatia,False
1963-05-16,Norway,Iraq,3,2,FIFA World Cup qualification,Los Angeles,Belgium,True
1963-05-24,Denmark,England,2,1,Friendly,Montevideo,Sweden,False
1963-05-27,Portugal,Japan,2,0,UEFA Euro qualification,New York,Australia,False
1963-06-02,Scotland,South Africa,2,1,Friendly,New York,United States,False
1963-06-04,Russia,Egypt,1,1,FIFA World Cup qualification,Tokyo,South Korea,False
1963-06-05,Wales,Denmark,3,0,Friendly,New York,Japan,False
1963-06-07,Scotland,England,2,1,AFC Asian Cup,Madrid,Sweden,False
1963-06-10,Romania,Italy,0,0,UEFA Euro qualification,Rome,Australia,True
1963-06-13,France,Romania,1,1,UEFA Euro qualification,Mexico City,Mexico,True
1963-07-01,Italy,Iraq,2,1,UEFA Euro qualification,Los Angeles,Uruguay,False
1963-07-05,Egypt,Wales,1,1,Friendly,Berlin,United States,False
1963-07-09,Australia,Poland,3,0,UEFA European Championship,Sao Paulo,Nigeria,False
1963-07-17,Argentina,Iraq,1,0,CONCACAF Gold Cup,Los Angeles,Spain,True
1963-07-17,Cameroon,Scotland,2,2,CONCACAF Gold Cup,Mexico City,France,False
1963-07-25,Netherlands,Iraq,2,0,Friendly,Sao Paulo,Cameroon,False
1963-07-28,Czech Republic,Romania,1,1,UEFA Euro qualification,Amsterdam,Germany,False
1963-07-30,Ecuador,Bolivia,2,1,UEFA European Championship,Rome,Cameroon,False
1963-08-01,Brazil,Netherlands,3,1,FIFA World Cup,Sydney,Argentina,False
1963-08-13,Turkey,Cameroon,3,1,AFC Asian Cup,New York,Cameroon,True
1963-08-19,Scotland,Spain,5,2,Copa America,Paris,Croatia,False
1963-09-04,China,Romania,1,1,AFC Asian Cup,Lisbon,Argentina,False
1963-09-05,Romania,Japan,1,1,AFC Asian Cup,Paris,United States,False
1963-09-09,Belgium,Japan,1,1,FIFA World Cup,Amsterdam,Portugal,False
1963-09-16,Iran,Norway,4,0,CONCACAF Gold Cup,Rome,Germany,False
1963-09-17,Cameroon,Sweden,5,4,Friendly,Mexico City,Argentina,True
1963-09-18,Spain,Sweden,3,1,Friendly,Buenos Aires,Croatia,True
1963-10-05,Romania,Netherlands,1,3,FIFA World Cup,New York,Mexico,False
1963-10-17,Peru,Cameroon,0,1,Copa America,Tokyo,Germany,True
1963-10-17,Chile,Portugal,0,1,FIFA World Cup,Los Angeles,Germany,False
1963-10-21,Ecuador,Netherlands,2,2,UEFA European Championship,Cairo,Italy,True
1963-10-27,Morocco,Egypt,1,0,UEFA European Championship,Sydney,Nigeria,False
1963-10-31,Nigeria,Netherlands,1,3,Africa Cup of Nations,Sydney,Italy,False
1963-11-01,Spain,England,0,1,UEFA European Championship,Paris,Nigeria,False
1963-11-07,Iraq,Spain,2,2,Friendly,Los Angeles,England,False
1963-11-18,Senegal,Greece,1,1,Friendly,Buenos Aires,Argentina,True
1963-11-20,Uruguay,Saudi Arabia,4,1,UEFA European Championship,Madrid,Sweden,False
1963-11-24,Colombia,Ghana,1,1,UEFA Euro qualification,Sao Paulo,Brazil,False
1963-12-05,Ireland,Croatia,0,1,UEFA Euro qualification,Cairo,Croatia,False
1963-12-06,Croatia,Australia,2,1,FIFA World Cup,Mexico City,South Korea,False
1963-12-17,Iran,Australia,2,2,Africa Cup of Nations,Rome,France,False
1963-12-21,India,Scotland,0,0,FIFA World Cup,Paris,Croatia,False
1963-12-24,Brazil,Nigeria,2,1,Friendly,Cairo,Uruguay,False
1963-12-25,New Zealand,Germany,2,0,Africa Cup of Nations,Seoul,France,False
1964-01-15,England,Paraguay,0,0,FIFA World Cup qualification,Rome,Argentina,True
1964-01-17,Netherlands,South Africa,0,3,CONCACAF Gold Cup,Montevideo,Germany,False
1964-01-21,India,Argentina,2,3,UEFA Euro qualification,Tokyo,Portugal,True
1964-01-22,Belgium,Australia,0,3,UEFA European Championship,London,Cameroon,False
1964-02-03,Russia,Ireland,2,1,UEFA European Championship,Lisbon,South Korea,False
1964-02-04,Japan,Denmark,3,2,Friendly,Rome,Netherlands,False
1964-02-13,Nigeria,Hungary,5,3,FIFA World Cup qualification,Berlin,Uruguay,False
1964-02-15,Czech Republic,Chile,1,2,UEFA Euro qualification,Madrid,Netherlands,False
1964-02-17,Italy,Belgium,0,0,Copa America,Buenos Aires,Portugal,True
1964-02-25,Ghana,Germany,0,0,Friendly,Rome,Sweden,False
1964-03-09,Spain,Brazil,0,0,CONCACAF Gold Cup,Paris,Nigeria,False
1964-03-12,Netherlands,Bolivia,2,2,CONCACAF Gold Cup,Berlin,Uruguay,False
1964-03-19,Scotland,Nigeria,1,1,Friendly,Buenos Aires,Cameroon,False
1964-03-25,Netherlands,France,3,1,Africa Cup of Nations,Sydney,Nigeria,False
1964-04-05,Nigeria,Hungary,1,2,Copa America,Amsterdam,Mexico,False
1964-04-12,South Korea,Iraq,0,2,FIFA World Cup qualification,Amsterdam,Cameroon,False
1964-04-13,Morocco,Paraguay,2,2,CONCACAF Gold Cup,Berlin,Uruguay,True
1964-04-23,Australia,Czech Republic,2,0,Friendly,Sydney,Argentina,False
1964-04-28,Belgium,Ecuador,3,0,UEFA Euro qualification,Tokyo,Australia,False
1964-05-01,France,Brazil,1,2,Friendly,Buenos Aires,Germany,True
1964-05-04,Nigeria,United States,1,1,Friendly,Mexico City,Brazil,False
1964-05-10,Australia,New Zealand,2,1,Friendly,Paris,Brazil,True
1964-05-16,Argentina,South Africa,0,2,Friendly,Mexico City,Spain,True
1964-05-24,Morocco,New Zealand,1,1,Africa Cup of Nations,Tokyo,Australia,False
1964-05-30,Germany,Greece,4,0,CONCACAF Gold Cup,Berlin,Germany,False
1964-06-02,Turkey,Scotland,1,1,Copa America,London,Cameroon,False
1964-06-02,Egypt,Russia,0,1,FIFA World Cup,Berlin,Portugal,True
1964-06-04,Portugal,Poland,3,1,Africa Cup of Nations,Montevideo,Australia,True
1964-06-11,Scotland,Paraguay,1,1,CONCACAF Gold Cup,Sydney,Italy,False
1964-06-11,Chile,Uruguay,2,0,FIFA World Cup qualification,Lisbon,Australia,False
1964-06-15,Colombia,Senegal,1,2,UEFA European Championship,Amsterdam,Mexico,False
1964-06-19,Senegal,Scotland,1,1,CONCACAF Gold Cup,Cairo,Nigeria,False
1964-06-22,Argentina,Egypt,1,0,FIFA World Cup,Sydney,Belgium,False
1964-07-01,Brazil,Ghana,4,0,CONCACAF Gold Cup,Amsterdam,France,False
1964-07-01,Sweden,Turkey,1,1,Friendly,London,England,False
1964-07-01,Croatia,India,1,2,Friendly,Paris,Mexico,False
1964-07-14,Scotland,Argentina,5,0,AFC Asian Cup,Lisbon,Nigeria,False
1964-07-23,Romania,Ecuador,1,1,CONCACAF Gold Cup,Sydney,Uruguay,False
1964-07-23,Chile,Ireland,0,3,Friendly,Lagos,South Korea,False
1964-07-26,Czech Republic,Italy,1,2,Africa Cup of Nations,Cairo,Cameroon,False
1964-07-29,Denmark,Czech Republic,0,2,CONCACAF Gold Cup,Cairo,Sweden,True
1964-07-31,Greece,Bolivia,2,2,Friendly,Seoul,Croatia,False
1964-08-04,Poland,Romania,1,2,Friendly,Madrid,Belgium,False
1964-08-06,Croatia,Mexico,1,2,FIFA World Cup,Los Angeles,Spain,False
1964-08-13,Greece,Poland,0,0,Friendly,Lisbon,Uruguay,False
1964-08-13,Wales,United States,5,1,CONCACAF Gold Cup,Buenos Aires,France,False
1964-08-15,China,Sweden,3,1,FIFA World Cup qualification,Los Angeles,Netherlands,True
1964-08-24,Uruguay,Bolivia,1,1,AFC Asian Cup,Madrid,South Korea,False
1964-08-30,Turkey,France,2,0,UEFA European Championship,London,South Korea,False
1964-09-03,Denmark,Morocco,2,0,Friendly,Buenos Aires,Netherlands,False
1964-09-04,Peru,Italy,1,2,UEFA Euro qualification,Cairo,Germany,False
1964-09-10,Ecuador,Bolivia,2,1,Friendly,Seoul,Argentina,False
1964-09-21,Russia,South Africa,1,1,Friendly,Madrid,Belgium,True
1964-09-23,Iraq,Netherlands,2,0,Friendly,Buenos Aires,France,False
1964-09-26,China,Scotland,0,0,Friendly,Sydney,Japan,True
1964-10-04,Spain,Turkey,1,2,Friendly,Mexico City,England,False
1964-10-05,Norway,Uruguay,2,0,Copa America,Lisbon,Netherlands,False
1964-10-05,Russia,Spain,1,3,FIFA World Cup qualification,Mexico City,Belgium,False
1964-10-13,South Africa,Ghana,4,2,AFC Asian Cup,Rome,Mexico,False
1964-10-15,Germany,Turkey,2,1,UEFA Euro qualification,Buenos Aires,France,False
1964-10-31,Morocco,Ghana,0,1,FIFA World Cup qualification,Mexico City,Portugal,False
1964-11-03,Nigeria,Greece,1,2,Copa America,Sao Paulo,Cameroon,True
1964-11-22,Norway,Iraq,0,0,Copa America,Madrid,France,False
1964-11-28,Nigeria,Germany,1,0,Africa Cup of Nations,Seoul,Nigeria,False
1964-12-01,Czech Republic,Bolivia,1,2,Friendly,Seoul,Netherlands,False
1964-12-02,India,Morocco,4,1,Friendly,Seoul,Cameroon,True
1964-12-03,South Africa,Morocco,2,3,FIFA World Cup qualification,Sydney,Germany,True
1964-12-06,South Korea,France,1,2,Copa America,London,Cameroon,False
1964-12-14,Spain,Croatia,3,2,Africa Cup of Nations,Montevideo,France,False
1964-12-29,Wales,Greece,2,1,Friendly,Sydney,United States,False
